spend_date,channel_id,spend,impressions,clicks
2026-01-01,1,405.87,6366,1149
2026-01-01,2,355.01,11035,1284
2026-01-01,3,53.13,1229,717
2026-01-01,4,0.0,1073,760
2026-01-01,5,188.34,3310,355
2026-01-01,6,28.8,1787,965
2026-01-02,1,340.31,12255,1427
2026-01-02,2,327.32,8406,1325
2026-01-02,3,56.64,878,681
2026-01-02,4,0.0,901,650
2026-01-02,5,182.38,2640,461
2026-01-02,6,42.07,1772,827
2026-01-03,1,416.73,12253,1305
2026-01-03,2,364.29,8629,1201
2026-01-03,3,45.65,750,583
2026-01-03,4,0.0,1114,778
2026-01-03,5,198.13,3198,452
2026-01-03,6,40.5,1310,1060
2026-01-04,1,506.64,14294,1394
2026-01-04,2,342.68,9103,1449
2026-01-04,3,48.57,888,691
2026-01-04,4,0.0,992,716
2026-01-04,5,171.39,2752,372
2026-01-04,6,44.26,1665,1110
2026-01-05,1,494.19,10016,1101
2026-01-05,2,419.78,11140,1423
2026-01-05,3,36.71,1050,722
2026-01-05,4,0.0,1764,944
2026-01-05,5,175.99,2961,422
2026-01-05,6,37.98,1248,955
2026-01-06,1,436.68,16099,1591
2026-01-06,2,434.95,7565,1111
2026-01-06,3,55.23,1419,705
2026-01-06,4,0.0,1653,949
2026-01-06,5,181.26,2446,356
2026-01-06,6,29.37,2467,1237
2026-01-07,1,427.17,8923,1270
2026-01-07,2,416.02,6029,1182
2026-01-07,3,50.47,805,533
2026-01-07,4,0.0,1517,869
2026-01-07,5,234.82,2384,349
2026-01-07,6,34.46,1551,1107
2026-01-08,1,413.48,9487,1315
2026-01-08,2,363.39,9448,1102
2026-01-08,3,39.37,1133,780
2026-01-08,4,0.0,1004,776
2026-01-08,5,184.83,2212,332
2026-01-08,6,35.77,1875,919
2026-01-09,1,436.65,6569,1080
2026-01-09,2,464.95,10376,1102
2026-01-09,3,51.94,1241,707
2026-01-09,4,0.0,1299,696
2026-01-09,5,201.8,3811,377
2026-01-09,6,36.73,1565,939
2026-01-10,1,382.84,11406,1357
2026-01-10,2,433.97,12087,1498
2026-01-10,3,49.98,1000,742
2026-01-10,4,0.0,1145,759
2026-01-10,5,180.51,2314,401
2026-01-10,6,46.96,1770,971
2026-01-11,1,585.85,9391,1390
2026-01-11,2,367.31,9265,1164
2026-01-11,3,40.61,1207,746
2026-01-11,4,0.0,1329,890
2026-01-11,5,223.89,4193,413
2026-01-11,6,46.08,2329,1265
2026-01-12,1,535.53,12351,1721
2026-01-12,2,391.96,5597,1040
2026-01-12,3,45.97,847,607
2026-01-12,4,0.0,1289,749
2026-01-12,5,213.31,4897,500
2026-01-12,6,39.07,1784,1240
2026-01-13,1,408.73,9194,1344
2026-01-13,2,423.13,9700,1207
2026-01-13,3,52.13,1012,604
2026-01-13,4,0.0,1279,871
