order_item_id,order_id,product_id,quantity,unit_price,discount
1,1,10,1,51.92,4.15
2,1,7,1,37.12,5.57
3,1,24,1,19.6,0.0
4,2,19,1,17.52,0.88
5,2,31,2,11.91,0.0
6,3,9,1,31.66,4.75
7,3,10,1,50.23,0.0
8,4,26,2,24.26,2.43
9,4,18,3,23.05,0.0
10,4,28,2,19.57,0.0
11,4,17,1,21.55,0.0
12,5,29,3,14.93,0.0
13,5,4,1,38.52,3.85
14,6,9,1,31.7,3.17
15,7,30,1,25.73,1.29
16,8,12,1,17.66,1.41
17,9,12,1,18.49,1.48
18,10,1,1,48.59,4.86
19,10,16,2,28.09,0.0
20,10,12,3,18.21,5.46
21,11,17,1,21.53,3.23
22,12,25,1,33.26,1.66
23,12,11,1,27.89,1.39
24,13,13,1,34.08,1.7
25,14,3,1,63.32,0.0
26,14,26,1,23.89,2.39
27,15,15,2,39.29,7.86
28,16,19,1,17.9,0.0
29,16,9,1,30.96,1.55
30,17,4,1,39.08,5.86
31,18,10,1,52.69,0.0
32,19,23,2,17.28,1.73
33,19,18,3,23.35,7.01
34,20,14,1,21.27,1.7
35,21,21,1,14.08,0.0
36,22,22,1,28.58,0.0
37,22,3,1,62.02,0.0
38,22,19,2,17.85,0.0
39,23,24,1,19.13,0.96
40,24,13,2,32.67,9.8
41,24,27,1,23.0,0.0
42,25,22,2,27.85,0.0
43,25,19,2,18.56,0.0
44,26,7,1,35.05,2.8
45,27,22,2,28.76,4.6
46,28,17,2,20.68,0.0
47,29,23,1,16.76,0.0
48,30,31,1,11.89,1.78
49,31,17,1,20.69,0.0
50,31,20,1,11.83,1.18
51,32,20,2,11.77,3.53
52,32,5,1,91.87,13.78
53,33,18,1,24.13,0.0
54,33,5,2,86.06,0.0
55,33,17,1,21.64,0.0
56,33,13,1,33.35,2.67
57,34,28,3,19.23,0.0
58,35,11,1,30.05,3.01
59,35,1,1,49.49,2.47
60,36,22,1,28.85,4.33
61,37,29,2,15.01,4.5
62,38,26,1,23.17,2.32
63,39,14,1,21.47,3.22
64,39,26,1,23.6,0.0
65,40,26,1,24.59,3.69
66,40,22,1,29.0,1.45
67,40,25,1,32.94,1.65
68,41,11,1,29.44,0.0
69,41,31,2,12.46,2.49
70,41,30,1,26.79,1.34
71,42,8,1,19.54,0.0
72,42,16,1,28.49,0.0
73,43,6,2,34.48,0.0
74,44,2,1,81.9,4.1
75,44,3,1,62.45,3.12
76,44,9,1,32.02,4.8
77,45,26,1,24.62,2.46
78,46,6,2,34.97,3.5
79,46,26,1,24.42,0.0
80,47,25,1,34.14,0.0
81,48,11,1,30.03,2.4
82,49,20,1,11.92,0.0
83,49,11,1,28.15,2.25
84,50,10,1,53.36,8.0
85,51,13,1,34.35,1.72
86,52,26,1,23.43,2.34
87,53,8,2,18.42,0.0
88,54,12,1,17.46,0.87
89,55,5,1,86.41,0.0
90,56,16,1,28.07,0.0
91,57,27,2,23.77,2.38
92,58,28,1,19.34,0.0
93,59,8,3,19.02,5.71
94,60,26,1,24.5,2.45
95,61,13,2,34.32,10.3
96,61,12,1,17.58,0.0
97,61,11,1,29.96,0.0
98,62,7,1,35.61,0.0
99,63,7,1,36.34,0.0
100,63,20,1,11.8,1.18
101,63,19,1,18.71,0.0
102,64,2,1,78.97,0.0
103,65,23,1,16.77,2.52
104,66,29,1,15.19,0.0
105,66,9,1,32.62,0.0
106,66,6,2,33.87,6.77
107,67,5,2,85.92,25.78
108,68,18,2,23.04,6.91
109,68,25,2,32.9,3.29
110,68,11,1,30.14,0.0
111,68,10,2,51.59,0.0
112,69,7,1,36.4,2.91
113,70,2,1,79.53,0.0
114,70,31,1,11.77,0.0
115,70,21,2,13.65,2.18
116,71,28,1,20.27,1.62
117,71,3,2,62.25,0.0
118,72,23,1,17.12,2.57
