order_id,customer_id,order_datetime,channel_id,ship_country,ship_region,status
1,1,2026-03-28 14:47:00,6,IN,South,REFUNDED
2,2,2026-02-27 22:36:00,1,IN,West,PENDING
3,2,2026-03-21 18:27:00,1,IN,West,PAID
4,3,2026-04-10 08:26:00,2,IN,East,PAID
5,3,2026-04-20 17:45:00,2,IN,East,PAID
6,5,2026-02-10 19:56:00,1,IN,North,PAID
7,5,2026-02-20 14:38:00,3,IN,North,PAID
8,5,2026-02-28 20:25:00,1,IN,North,PAID
9,5,2026-03-16 20:51:00,2,IN,North,PAID
10,5,2026-04-20 13:11:00,1,IN,North,PAID
11,7,2026-02-22 16:06:00,6,IN,West,PAID
12,7,2026-03-06 19:49:00,6,IN,West,PAID
13,7,2026-03-30 20:18:00,6,IN,West,PAID
14,7,2026-05-02 20:17:00,1,IN,West,PAID
15,8,2026-02-26 11:47:00,2,IN,West,PAID
16,8,2026-03-16 15:51:00,2,IN,West,REFUNDED
17,10,2026-06-19 13:24:00,4,IN,East,PAID
18,11,2026-01-16 19:49:00,2,IN,South,PAID
19,13,2026-02-12 22:33:00,4,US,East,PAID
20,13,2026-03-13 11:21:00,4,US,East,PAID
21,14,2026-05-14 13:15:00,1,IN,East,PAID
22,15,2026-05-22 14:15:00,4,IN,West,PAID
23,16,2026-02-23 15:54:00,2,IN,East,REFUNDED
24,16,2026-03-14 09:22:00,2,IN,East,PAID
25,16,2026-04-10 16:23:00,1,IN,East,PAID
26,16,2026-05-22 16:17:00,3,IN,East,PAID
27,17,2026-06-01 19:24:00,6,IN,South,PAID
28,18,2026-02-23 16:18:00,4,IN,West,PAID
29,18,2026-03-11 15:12:00,4,IN,West,PAID
30,19,2026-05-02 10:05:00,2,IN,East,PAID
31,19,2026-05-29 22:59:00,2,IN,East,PAID
32,20,2026-04-10 16:51:00,6,IN,East,PAID
33,20,2026-05-03 19:34:00,5,IN,East,PAID
34,20,2026-05-30 18:56:00,6,IN,East,PAID
35,20,2026-06-23 08:10:00,6,IN,East,PAID
36,21,2026-04-09 17:55:00,4,IN,South,PAID
37,21,2026-04-29 20:11:00,1,IN,South,PAID
38,22,2026-06-06 19:37:00,6,GB,England,PAID
39,23,2026-06-19 13:56:00,1,IN,East,PAID
40,25,2026-01-27 08:19:00,4,IN,East,PAID
41,25,2026-02-23 13:16:00,4,IN,East,PAID
42,25,2026-03-20 20:20:00,4,IN,East,PAID
43,25,2026-04-06 11:39:00,4,IN,East,PENDING
44,25,2026-04-13 21:58:00,4,IN,East,CANCELLED
45,26,2026-05-31 22:41:00,4,IN,North,PAID
46,28,2026-06-07 11:48:00,2,IN,West,PAID
47,28,2026-06-20 18:46:00,6,IN,West,PAID
48,29,2026-06-27 09:21:00,1,IN,North,CANCELLED
49,31,2026-04-06 18:35:00,2,IN,West,PAID
50,32,2026-06-17 22:24:00,2,IN,East,PAID
51,34,2026-04-21 20:38:00,6,IN,South,PAID
52,35,2026-05-02 18:57:00,2,IN,West,PAID
53,37,2026-04-15 10:47:00,1,IN,South,PAID
54,37,2026-05-04 17:53:00,1,IN,South,PAID
55,37,2026-05-29 11:56:00,1,IN,South,PAID
56,38,2026-01-27 10:44:00,2,IN,North,CANCELLED
57,39,2026-05-14 22:24:00,5,IN,South,PAID
58,39,2026-06-16 11:07:00,5,IN,South,PAID
59,40,2026-02-22 11:08:00,1,IN,West,PAID
60,40,2026-03-23 18:21:00,1,IN,West,PAID
61,41,2026-03-24 09:41:00,1,IN,South,PAID
62,41,2026-05-01 13:48:00,1,IN,South,PAID
63,41,2026-06-11 08:06:00,1,IN,South,PAID
64,41,2026-06-21 22:01:00,1,IN,South,CANCELLED
65,42,2026-04-15 11:22:00,2,AE,Dubai,PAID
66,43,2026-02-20 17:44:00,3,IN,East,PAID
67,44,2026-06-15 20:24:00,1,IN,North,PAID
68,46,2026-02-04 15:51:00,2,US,West,PAID
69,47,2026-04-02 14:03:00,6,IN,West,PAID
70,47,2026-04-13 13:45:00,4,IN,West,PAID
71,47,2026-04-28 20:46:00,6,IN,West,PAID
72,49,2026-01-21 10:02:00,3,IN,East,PAID
73,49,2026-01-30 12:38:00,1,IN,East,PAID
74,50,2026-05-30 16:41:00,5,IN,East,PAID
75,52,2026-02-13 14:52:00,2,IN,West,PAID
76,52,2026-03-01 10:34:00,6,IN,West,REFUNDED
77,52,2026-03-25 16:02:00,2,IN,West,PAID
78,55,2026-03-27 17:52:00,3,IN,North,PAID
79,55,2026-04-14 14:50:00,3,IN,North,PAID
80,55,2026-05-25 16:58:00,2,IN,North,PAID
81,55,2026-06-08 21:58:00,3,IN,North,PAID
82,55,2026-06-19 14:29:00,4,IN,North,PAID
83,56,2026-02-24 21:19:00,4,IN,South,PAID
84,57,2026-03-18 19:39:00,6,US,East,PAID
85,57,2026-04-11 10:26:00,6,US,East,REFUNDED
86,59,2026-02-23 11:16:00,1,IN,West,CANCELLED
87,59,2026-03-02 21:49:00,1,IN,West,PENDING
88,59,2026-04-02 20:38:00,1,IN,West,PAID
89,60,2026-04-07 20:22:00,3,IN,West,PENDING
90,61,2026-01-11 12:11:00,2,IN,West,PAID
91,62,2026-04-05 10:32:00,4,IN,North,PENDING
92,62,2026-05-09 10:43:00,4,IN,North,PAID
93,65,2026-06-17 15:38:00,1,US,East,PAID
94,67,2026-06-26 16:29:00,2,IN,East,PAID
95,68,2026-05-31 21:50:00,6,IN,North,CANCELLED
96,69,2026-02-26 17:14:00,2,IN,North,REFUNDED
97,71,2026-06-21 18:59:00,1,IN,North,PAID
98,72,2026-04-07 17:59:00,6,IN,West,PAID
99,73,2026-04-12 15:08:00,4,IN,South,PAID
100,76,2026-03-23 18:48:00,1,IN,South,REFUNDED
101,77,2026-02-15 09:31:00,6,IN,East,PAID
102,78,2026-01-31 21:38:00,3,IN,South,PAID
103,78,2026-02-13 19:08:00,3,IN,South,PAID
104,79,2026-06-13 16:48:00,1,US,West,PAID
105,81,2026-02-23 18:25:00,2,AE,Dubai,PAID
106,81,2026-03-10 12:06:00,2,AE,Dubai,PAID
107,82,2026-05-19 20:15:00,1,IN,North,PAID
108,82,2026-06-19 19:07:00,1,IN,North,PAID
109,83,2026-06-26 17:01:00,1,IN,West,REFUNDED
110,84,2026-04-19 22:31:00,6,IN,South,PAID
111,84,2026-05-11 14:33:00,2,IN,South,PAID
112,85,2026-04-18 19:00:00,1,IN,South,PAID
113,85,2026-05-28 14:52:00,1,IN,South,PAID
114,86,2026-04-12 11:52:00,2,IN,East,CANCELLED
115,86,2026-05-04 17:09:00,2,IN,East,PAID
116,86,2026-05-18 15:36:00,2,IN,East,CANCELLED
117,86,2026-05-29 10:01:00,2,IN,East,PAID
118,87,2026-01-26 20:29:00,1,IN,South,PAID
119,88,2026-01-30 17:19:00,1,IN,North,PAID
120,88,2026-03-03 17:36:00,6,IN,North,CANCELLED
121,88,2026-04-14 10:24:00,1,IN,North,PAID
122,88,2026-05-13 22:45:00,6,IN,North,PAID
123,88,2026-06-11 19:38:00,1,IN,North,PAID
124,90,2026-06-28 14:49:00,5,IN,South,PAID
125,91,2026-06-09 17:45:00,1,IN,West,PAID
126,92,2026-04-03 22:19:00,1,IN,South,PAID
127,93,2026-05-19 19:51:00,1,IN,South,PAID
128,93,2026-06-08 19:01:00,1,IN,South,PAID
129,94,2026-03-18 11:25:00,3,US,East,PAID
130,95,2026-06-24 09:17:00,1,IN,West,PAID
131,96,2026-03-04 12:26:00,1,IN,North,PAID
132,96,2026-04-06 20:29:00,1,IN,North,PAID
133,96,2026-05-11 10:08:00,1,IN,North,PAID
134,96,2026-05-30 16:56:00,1,IN,North,PAID
135,97,2026-06-10 08:38:00,2,IN,West,PAID
136,98,2026-05-09 08:45:00,5,IN,West,PAID
137,99,2026-06-30 22:05:00,1,IN,East,REFUNDED
138,100,2026-06-28 14:21:00,5,IN,West,PAID
139,101,2026-04-09 10:06:00,1,IN,North,PAID
140,102,2026-06-27 10:06:00,1,IN,West,PAID
141,105,2026-04-07 13:27:00,3,IN,West,PAID
142,106,2026-06-19 17:32:00,4,IN,North,PAID
143,108,2026-06-14 10:47:00,5,IN,South,REFUNDED
144,108,2026-06-22 14:32:00,1,IN,South,PAID
145,109,2026-01-06 17:05:00,2,IN,South,PAID
146,109,2026-01-26 19:22:00,2,IN,South,PAID
147,109,2026-02-15 18:22:00,2,IN,South,PAID
148,110,2026-02-12 13:36:00,1,IN,East,REFUNDED
149,111,2026-06-27 21:21:00,6,IN,West,REFUNDED
150,113,2026-05-17 15:21:00,2,IN,South,PAID
151,113,2026-06-26 10:55:00,1,IN,South,PAID
152,115,2026-05-29 22:54:00,2,IN,South,PAID
153,115,2026-06-24 19:03:00,2,IN,South,PAID
154,116,2026-06-21 10:41:00,5,IN,South,PAID
155,117,2026-04-08 19:33:00,2,IN,South,CANCELLED
156,118,2026-03-29 20:06:00,1,IN,East,PAID
157,119,2026-01-13 12:47:00,6,IN,North,PAID
158,121,2026-05-27 09:16:00,6,IN,East,PAID
159,122,2026-05-14 14:30:00,3,IN,West,PAID
160,122,2026-06-15 20:30:00,3,IN,West,CANCELLED
161,123,2026-06-30 17:55:00,1,IN,South,PAID
162,124,2026-06-14 14:46:00,4,IN,North,PAID
163,124,2026-06-26 12:53:00,4,IN,North,PAID
164,125,2026-06-03 20:11:00,1,US,East,PAID
165,125,2026-06-22 10:49:00,1,US,East,PAID
166,126,2026-06-10 20:25:00,6,IN,South,PAID
167,128,2026-04-13 10:12:00,1,IN,South,PAID
168,128,2026-05-13 13:12:00,1,IN,South,PAID
169,128,2026-06-20 20:09:00,1,IN,South,PAID
170,129,2026-03-17 18:26:00,3,IN,West,PAID
171,130,2026-01-19 13:58:00,2,IN,South,PAID
172,130,2026-02-07 12:15:00,2,IN,South,CANCELLED
173,132,2026-01-16 08:51:00,6,IN,South,PAID
174,133,2026-03-10 18:18:00,3,IN,West,PAID
175,134,2026-06-29 17:08:00,1,IN,West,PAID
176,135,2026-04-16 11:45:00,2,IN,South,PAID
177,136,2026-04-30 09:40:00,1,IN,North,REFUNDED
178,136,2026-05-24 12:24:00,2,IN,North,PENDING
179,139,2026-06-30 19:19:00,3,IN,South,PAID
180,141,2026-01-23 22:28:00,1,IN,East,PAID
181,143,2026-06-27 12:25:00,2,IN,West,PAID
182,145,2026-02-09 13:44:00,2,IN,South,PAID
183,146,2026-02-25 11:10:00,4,IN,East,PAID
184,147,2026-05-11 13:55:00,2,IN,West,PAID
185,147,2026-05-29 12:23:00,2,IN,West,PAID
186,148,2026-03-05 08:16:00,1,IN,East,REFUNDED
187,148,2026-04-07 22:39:00,1,IN,East,PAID
188,148,2026-05-05 15:04:00,1,IN,East,PAID
189,148,2026-06-08 14:24:00,1,IN,East,PAID
190,149,2026-01-24 21:25:00,1,IN,East,CANCELLED
191,150,2026-02-06 20:49:00,2,IN,West,PAID
192,150,2026-02-15 15:38:00,2,IN,West,PAID
193,150,2026-02-27 20:41:00,2,IN,West,PAID
194,150,2026-04-01 12:00:00,2,IN,West,PAID
195,152,2026-06-27 10:44:00,2,IN,East,PAID
196,153,2026-01-31 16:49:00,2,IN,North,PAID
197,153,2026-02-08 15:15:00,2,IN,North,PAID
198,153,2026-03-22 16:06:00,2,IN,North,CANCELLED
199,153,2026-04-16 20:07:00,2,IN,North,PAID
200,154,2026-05-08 20:29:00,1,IN,South,REFUNDED
201,154,2026-05-18 12:44:00,1,IN,South,PAID
202,154,2026-06-25 11:27:00,5,IN,South,PAID
203,155,2026-06-12 11:13:00,1,IN,South,PAID
204,156,2026-04-19 15:01:00,6,IN,West,CANCELLED
205,156,2026-04-28 17:27:00,6,IN,West,PAID
206,156,2026-05-10 11:24:00,5,IN,West,PAID
207,156,2026-06-03 18:10:00,6,IN,West,PAID
208,158,2026-02-03 10:50:00,5,IN,East,PAID
209,158,2026-02-13 19:11:00,5,IN,East,PAID
210,159,2026-04-08 21:54:00,2,IN,West,PAID
211,160,2026-06-30 19:21:00,6,IN,West,REFUNDED
212,161,2026-05-02 22:35:00,1,IN,South,PAID
213,162,2026-02-22 22:30:00,1,IN,West,PAID
214,164,2026-05-14 12:55:00,5,IN,West,PAID
215,164,2026-06-18 20:33:00,5,IN,West,PAID
216,165,2026-03-18 15:21:00,6,IN,East,PAID
217,166,2026-03-24 18:13:00,1,IN,North,PAID
218,166,2026-04-03 15:30:00,1,IN,North,PAID
219,166,2026-05-03 22:34:00,1,IN,North,PAID
220,167,2026-06-03 10:51:00,1,AE,Dubai,PAID
221,169,2026-05-28 09:05:00,3,IN,West,PAID
222,169,2026-06-23 12:53:00,3,IN,West,PAID
223,170,2026-05-05 16:42:00,1,IN,North,PAID
224,170,2026-06-05 10:36:00,1,IN,North,PAID
225,171,2026-02-17 19:02:00,2,US,East,PAID
226,171,2026-02-27 08:24:00,2,US,East,PAID
227,171,2026-03-17 18:01:00,2,US,East,PAID
228,171,2026-04-28 11:27:00,2,US,East,PAID
229,172,2026-05-14 21:15:00,1,IN,South,PAID
230,173,2026-01-26 11:27:00,2,IN,East,PAID
231,173,2026-02-11 08:36:00,2,IN,East,PAID
232,175,2026-06-14 11:53:00,1,IN,North,PAID
233,177,2026-04-01 19:42:00,2,IN,West,PAID
234,178,2026-03-07 13:54:00,3,IN,North,PAID
235,178,2026-04-02 18:44:00,3,IN,North,PAID
236,178,2026-04-20 19:24:00,4,IN,North,PAID
237,178,2026-05-29 09:39:00,6,IN,North,PAID
238,179,2026-06-28 12:40:00,4,IN,North,PAID
239,180,2026-06-26 15:55:00,5,IN,South,REFUNDED
240,181,2026-03-20 17:48:00,2,IN,South,PAID
241,181,2026-04-30 14:37:00,2,IN,South,PAID
242,181,2026-05-24 18:35:00,2,IN,South,PAID
243,181,2026-06-25 10:11:00,6,IN,South,PAID
244,183,2026-02-05 10:45:00,6,IN,West,PAID
245,183,2026-03-02 09:04:00,6,IN,West,PAID
246,183,2026-04-07 11:58:00,6,IN,West,PAID
