return_id,order_id,product_id,return_date,reason,refund_amount
1,1,7,2026-04-09,Size/fit issue,33.22
2,16,19,2026-03-28,Quality expectation,13.37
3,23,24,2026-03-02,Size/fit issue,15.11
4,76,27,2026-03-11,Damaged item,20.89
5,85,28,2026-04-21,Wrong item,14.99
6,96,28,2026-03-08,Wrong item,15.08
7,100,6,2026-04-04,Damaged item,30.91
8,109,18,2026-07-10,Damaged item,22.27
9,137,24,2026-07-13,Size/fit issue,15.86
10,143,26,2026-06-22,Quality expectation,20.6
11,148,17,2026-02-28,Quality expectation,20.54
12,149,15,2026-07-07,Damaged item,28.63
13,177,27,2026-05-06,Damaged item,16.62
14,186,4,2026-03-16,Quality expectation,32.92
15,200,4,2026-05-19,Changed mind,29.68
16,211,31,2026-07-08,Damaged item,9.79
17,239,11,2026-07-10,Changed mind,23.96
18,295,28,2026-06-17,Changed mind,18.22
19,316,12,2026-06-30,Damaged item,17.57
20,328,15,2026-02-25,Damaged item,38.98
21,351,3,2026-06-03,Size/fit issue,45.43
22,441,22,2026-04-11,Quality expectation,24.49
23,442,30,2026-05-19,Damaged item,19.84
24,454,2,2026-02-06,Size/fit issue,75.07
25,468,28,2026-05-30,Wrong item,19.34
26,514,6,2026-05-05,Wrong item,25.51
27,533,25,2026-03-26,Size/fit issue,27.76
28,535,2,2026-07-04,Wrong item,70.22
29,558,25,2026-04-10,Damaged item,29.03
30,568,15,2026-02-04,Size/fit issue,33.15
31,586,20,2026-05-20,Changed mind,10.5
32,593,24,2026-07-10,Wrong item,18.0
33,598,27,2026-04-26,Changed mind,17.89
34,614,13,2026-07-09,Changed mind,27.8
35,637,10,2026-04-12,Quality expectation,41.42
36,647,7,2026-05-28,Changed mind,31.26
37,697,9,2026-05-25,Changed mind,29.56
38,705,19,2026-06-20,Size/fit issue,15.19
39,731,10,2026-03-03,Size/fit issue,50.49
40,739,19,2026-06-21,Wrong item,14.16
41,748,19,2026-06-03,Quality expectation,16.18
42,768,7,2026-04-23,Changed mind,29.55
43,772,7,2026-03-16,Size/fit issue,33.97
44,801,2,2026-03-18,Size/fit issue,64.77
45,837,18,2026-04-06,Size/fit issue,18.15
46,858,24,2026-06-25,Wrong item,18.72
47,911,8,2026-03-05,Wrong item,16.53
