session_date,channel_id,sessions,add_to_carts,checkouts,conversions
2026-01-01,1,1260,145,78,39
2026-01-01,2,1390,139,64,42
2026-01-01,3,717,104,49,40
2026-01-01,4,760,89,41,32
2026-01-01,5,434,56,28,11
2026-01-01,6,965,125,65,40
2026-01-02,1,1622,188,97,59
2026-01-02,2,1472,177,103,44
2026-01-02,3,681,103,57,28
2026-01-02,4,650,81,48,27
2026-01-02,5,494,75,40,11
2026-01-02,6,827,123,63,29
2026-01-03,1,1474,172,100,42
2026-01-03,2,1554,220,101,40
2026-01-03,3,583,62,36,31
2026-01-03,4,778,117,62,33
2026-01-03,5,494,68,34,11
2026-01-03,6,1060,112,52,35
2026-01-04,1,1816,224,131,64
2026-01-04,2,1545,238,123,40
2026-01-04,3,691,76,39,32
2026-01-04,4,716,85,42,29
2026-01-04,5,429,60,34,10
2026-01-04,6,1110,131,61,43
2026-01-05,1,1340,191,89,46
2026-01-05,2,1685,229,113,44
2026-01-05,3,722,83,45,42
2026-01-05,4,944,147,72,45
2026-01-05,5,515,77,44,12
2026-01-05,6,955,133,74,36
2026-01-06,1,1962,278,161,63
2026-01-06,2,1185,168,88,31
2026-01-06,3,705,89,44,38
2026-01-06,4,949,116,54,36
2026-01-06,5,406,41,20,9
2026-01-06,6,1237,164,93,54
2026-01-07,1,1585,239,123,49
2026-01-07,2,1263,134,73,34
2026-01-07,3,533,62,29,27
2026-01-07,4,869,99,46,42
2026-01-07,5,430,68,38,10
2026-01-07,6,1107,173,88,40
2026-01-08,1,1409,148,70,41
2026-01-08,2,1411,219,104,41
2026-01-08,3,780,95,56,40
2026-01-08,4,776,93,49,27
2026-01-08,5,396,49,23,11
2026-01-08,6,919,102,49,32
2026-01-09,1,1434,194,110,46
2026-01-09,2,1350,180,104,36
2026-01-09,3,707,82,41,37
2026-01-09,4,696,98,48,32
2026-01-09,5,458,56,26,11
2026-01-09,6,939,97,48,36
2026-01-10,1,1488,222,119,42
2026-01-10,2,1717,194,109,52
2026-01-10,3,742,74,37,40
2026-01-10,4,759,87,48,30
2026-01-10,5,445,46,21,13
2026-01-10,6,971,103,47,39
2026-01-11,1,1583,233,110,53
2026-01-11,2,1286,178,89,39
2026-01-11,3,746,76,41,32
2026-01-11,4,890,114,53,31
2026-01-11,5,531,73,35,16
2026-01-11,6,1265,177,99,42
2026-01-12,1,1984,216,107,59
2026-01-12,2,1233,166,75,39
2026-01-12,3,607,92,43,28
2026-01-12,4,749,118,55,26
2026-01-12,5,614,76,36,16
2026-01-12,6,1240,130,70,45
2026-01-13,1,1676,171,90,58
2026-01-13,2,1274,150,79,35
2026-01-13,3,604,88,45,26
2026-01-13,4,871,124,60,36
2026-01-13,5,550,61,35,13
2026-01-13,6,944,143,78,39
2026-01-14,1,1786,231,134,61
2026-01-14,2,1474,183,106,41
2026-01-14,3,801,85,50,44
2026-01-14,4,740,112,62,31
2026-01-14,5,442,59,26,11
2026-01-14,6,1315,145,78,42
2026-01-15,1,1694,193,100,59
2026-01-15,2,1791,200,92,49
2026-01-15,3,754,114,57,41
2026-01-15,4,881,97,55,36
2026-01-15,5,484,50,26,15
2026-01-15,6,1103,123,57,46
2026-01-16,1,1541,227,103,47
2026-01-16,2,1363,180,82,39
2026-01-16,3,603,87,39,26
2026-01-16,4,888,119,56,38
2026-01-16,5,570,62,29,17
2026-01-16,6,1110,156,83,44
2026-01-17,1,1518,242,126,49
2026-01-17,2,1705,218,100,42
2026-01-17,3,677,95,50,37
2026-01-17,4,826,120,59,38
2026-01-17,5,537,75,40,13
2026-01-17,6,989,152,73,34
2026-01-18,1,1657,188,111,65
2026-01-18,2,1672,222,131,55
2026-01-18,3,620,80,44,32
2026-01-18,4,993,116,53,45
2026-01-18,5,503,79,38,12
2026-01-18,6,1335,141,63,47
2026-01-19,1,2024,263,126,79
2026-01-19,2,1795,184,105,56
2026-01-19,3,818,125,61,39
2026-01-19,4,842,95,51,37
2026-01-19,5,638,74,41,19
2026-01-19,6,1113,136,71,45
2026-01-20,1,2063,271,151,67
2026-01-20,2,1462,204,116,42
2026-01-20,3,836,122,64,43
2026-01-20,4,1006,114,52,48
2026-01-20,5,615,97,56,15
2026-01-20,6,1293,174,92,55
2026-01-21,1,1614,177,84,63
2026-01-21,2,1761,196,106,44
2026-01-21,3,591,81,42,31
2026-01-21,4,738,78,45,25
2026-01-21,5,606,87,51,18
2026-01-21,6,1131,119,56,46
2026-01-22,1,1934,232,117,70
2026-01-22,2,1456,211,102,45
2026-01-22,3,690,82,44,34
2026-01-22,4,1049,143,74,37
2026-01-22,5,572,66,30,13
2026-01-22,6,1277,169,89,42
2026-01-23,1,1646,243,128,58
2026-01-23,2,1538,188,111,41
2026-01-23,3,779,79,40,42
2026-01-23,4,896,100,53,36
2026-01-23,5,475,55,31,12
2026-01-23,6,1309,154,71,51
2026-01-24,1,1552,231,129,51
2026-01-24,2,1517,201,103,41
2026-01-24,3,772,80,42,35
2026-01-24,4,1067,150,84,51
2026-01-24,5,491,59,26,15
2026-01-24,6,1275,166,89,51
2026-01-25,1,2123,273,128,69
2026-01-25,2,1692,237,114,46
2026-01-25,3,722,89,44,37
2026-01-25,4,1005,113,56,43
2026-01-25,5,623,75,39,14
2026-01-25,6,1267,157,74,50
2026-01-26,1,1791,268,157,64
2026-01-26,2,1795,263,155,48
2026-01-26,3,747,79,36,38
2026-01-26,4,771,95,51,36
2026-01-26,5,589,63,34,13
2026-01-26,6,959,126,70,40
2026-01-27,1,1732,274,152,49
2026-01-27,2,1738,199,111,48
2026-01-27,3,810,106,48,37
2026-01-27,4,947,145,78,44
2026-01-27,5,585,70,37,17
2026-01-27,6,1035,106,56,35
2026-01-28,1,1711,248,119,55
2026-01-28,2,1527,164,89,45
2026-01-28,3,785,118,69,40
2026-01-28,4,969,139,80,41
2026-01-28,5,435,45,22,9
2026-01-28,6,1148,155,84,43
2026-01-29,1,2182,225,130,80
2026-01-29,2,1277,149,75,39
2026-01-29,3,672,88,41,30
2026-01-29,4,841,101,60,38
2026-01-29,5,479,75,43,11
2026-01-29,6,1077,162,78,34
2026-01-30,1,1752,235,112,54
2026-01-30,2,1566,185,90,43
2026-01-30,3,609,71,33,28
2026-01-30,4,979,131,62,47
2026-01-30,5,634,64,36,15
2026-01-30,6,1253,125,73,43
2026-01-31,1,1798,248,119,57
